,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Foreign born, by region of birth: 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Universe: 2018 foreign-born resident population ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,"11,182,111",25.0,%,,,,,,,,,,,,,,,,,,,,,,
East and Southeast Asia,"8,648,528",19.3,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,"131,854",0.3,,,,,,,,,,,,,,,,,,,,,,,
South Asia,"3,668,982",8.2,,,,,,,,,,,,,,,,,,,,,,,
Oceania,"246,371",0.6,,,,,,,,,,,,,,,,,,,,,,,
Europe,"4,848,270",10.8,,,,,,,,,,,,,,,,,,,,,,,
Canada and Other North America,"827,093",1.8,,,,,,,,,,,,,,,,,,,,,,,
Caribbean,"4,463,891",10.0,,,,,,,,,,,,,,,,,,,,,,,
Central America,"3,590,330",8.0,,,,,,,,,,,,,,,,,,,,,,,
South America,"3,304,380",7.4,,,,,,,,,,,,,,,,,,,,,,,
Middle East-North Africa,"1,784,898",4.0,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,"2,032,470",4.5,,,,,,,,,,,,,,,,,,,,,,,
Total,"44,760,622",100.0,%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: See ""Countries by regional classification"" for details on our regional grouping of countries.",,,,,,,,,,,,,,,,,,,,,,,,,
Source: Pew Research Center tabulations of 2018 American Community Survey (1% IPUMS).,,,,,,,,,,,,,,,,,,,,,,,,,
"""Statistical Portrait of the Foreign-Born Population in the United States, 2018""",,,,,,,,,,,,,,,,,,,,,,,,,
PEW RESEARCH CENTER,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
